Portfolio,alpha,t_alpha,p_alpha,R2,betaMkt-RF,betaSMB,betaHML,betaRMW,betaCMA
SMALL LoBM,-0.202281747760083,-1.897413787148946,0.0578,0.946150723111966,1.0183309927711262,1.3289471388885934,-0.49850717534166655,-0.42715067288930797,-0.09320246301379928
ME1 BM2,-0.007484776291806286,-0.11167035215291805,0.9111,0.9625819505349561,0.9581550951017132,1.2188880427883646,-0.08778459805783723,-0.23940800704573295,-0.026345308429100656
ME1 BM3,-0.022447724287321568,-0.2771623453165619,0.7817,0.9655956526010692,0.9425253846349025,1.1104861344183838,0.1417907059241992,-0.10293044803643181,0.010889525219409946
ME1 BM4,0.08023462166250046,1.2221583306870019,0.2216,0.9679941298784269,0.8994782732828968,1.0629049251558755,0.2653159167121202,-0.077334337617885,0.02909822776361934
SMALL HiBM,-0.0070394449725868155,-0.10914958508238162,0.9131,0.9627480604843351,0.9656551801524669,1.1645703412108603,0.462618666616345,0.09195883918689152,0.17017014421103416
ME2 BM1,-0.07379986357073887,-0.8680609519345575,0.3854,0.9616649273305956,1.0948093295677395,0.9561862748238905,-0.5824739183985823,-0.15937249807347564,-0.03634958880464206
ME2 BM2,-0.049751275466923775,-0.6976302419335625,0.4854,0.9639048840947704,1.028068764441373,0.9162302580695171,-0.09020328898023952,0.0073146231886320745,0.1021419160670842
ME2 BM3,0.11859962264964644,1.557237716965279,0.1194,0.9585836241311286,0.963301903857882,0.8186171553389635,0.24057802663178385,0.0689094426183717,-0.08408863284920559
ME2 BM4,0.08429300466134004,1.3609768608921124,0.1735,0.955450456863807,0.9733028037020057,0.6880913493069398,0.4340041855323546,0.12844560538261474,0.04951822065843722
ME2 BM5,0.01055398621851003,0.13865510465542621,0.8897,0.9579969472496628,1.0792954826916143,0.8300361284873596,0.6173210865546347,0.09659769127023421,0.06519995839889806
ME3 BM1,-0.018021685489883643,-0.2564232210379924,0.7976,0.9609040800542298,1.0944832214532303,0.6626649302505971,-0.40108413520000774,0.029178937982112796,-0.13405825698311014
ME3 BM2,0.04541703380664225,0.5758554192762066,0.5647,0.9495262940004375,1.0172797670401734,0.6219512874912116,-0.013549911738799963,0.013037015370392202,0.004802746382557094
ME3 BM3,0.015395841685314451,0.23968487302217914,0.8106,0.9370767085992738,0.97421524075787,0.5278599207287816,0.24944616271824616,-0.01200065692040464,0.027968149369784145
ME3 BM4,0.17254026341482917,2.4362565408050547,0.0148,0.9413455422536743,0.9672041901097291,0.4070899270276612,0.47919490342826954,-0.11845455797921828,-0.0963756360772225
ME3 BM5,0.04965137672322584,0.5448637809069837,0.5858,0.9282397870544183,1.0691711710324114,0.6245172263369467,0.5930237233462003,-0.04533235726445428,0.07388544894844362
ME4 BM1,0.12829058441332847,1.3299467353731251,0.1835,0.9468689026490056,1.0556491896716302,0.2799248106062478,-0.4208299284488697,0.02014737755128243,-0.07565817651214003
ME4 BM2,-0.10811810272987762,-1.0425239785230747,0.2972,0.9301634611138464,1.0682072310217068,0.2728773029475259,-0.16716986056967817,-0.20388399063103174,0.1912811582550778
ME4 BM3,0.07200681721462845,0.8152841489087739,0.4149,0.9190137971180958,1.0408269142467912,0.21181056671992382,0.27712294572462776,-0.1646324927996596,-0.07583257572706925
ME4 BM4,0.18868831344833653,2.3943196246094605,0.0167,0.9124720109425181,1.0154251148283666,0.20774795057138626,0.5523639871844531,-0.2005334677186152,-0.1732896360016747
ME4 BM5,0.12829880785951941,1.4622546194326809,0.1437,0.9023513068763329,1.1326626068858774,0.32320606195872487,0.7367989979749212,-0.19161652457840375,-0.18213315764309726
BIG LoBM,0.13615966858081194,1.8495395235385952,0.0644,0.9463252954856991,0.9599685588034096,-0.18802497233867427,-0.2701196233338641,0.2401240773861727,-0.13090524920514954
ME5 BM2,-0.046461504539107856,-0.5622345952971346,0.574,0.9228998646384464,1.0266260743610314,-0.1618756624915901,-0.05518631993602384,0.005264136804185748,0.11300382179994611
ME5 BM3,0.008394532284333456,0.09985669411133002,0.9205,0.8697625846963184,0.9702817148483717,-0.2440936905044312,0.054739865755004655,-0.23335911473255072,0.15345473758926326
ME5 BM4,-0.01623267012574331,-0.2453375186095846,0.8062,0.9018811850363692,0.9879467001826674,-0.19057010357468254,0.5708249147529545,-0.11606410181700394,-0.0803309839963341
BIG HiBM,-0.14877025465945992,-1.3957963184163436,0.1628,0.8361815558417367,1.0197599234380519,-0.03152176206415683,0.8159227575279021,-0.04242649110597442,-0.13617924206950738
